date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-02-23,6,2025-02-23T06:00:00,2025-02-23T06:00:00,52,51,True
2025-02-23,12,2025-02-23T12:00:00,2025-02-23T12:00:00,52,51,True
2025-02-23,18,2025-02-23T18:00:00,2025-02-23T18:00:00,52,51,True
2025-02-24,0,2025-02-24T00:00:00,2025-02-24T00:00:00,53,52,True
2025-02-24,6,2025-02-24T06:00:00,2025-02-24T06:00:00,53,52,True
2025-02-24,12,2025-02-24T12:00:00,2025-02-24T12:00:00,53,52,True
2025-02-24,18,2025-02-24T18:00:00,2025-02-24T18:00:00,53,52,True
2025-02-25,0,2025-02-25T00:00:00,2025-02-25T00:00:00,54,53,True
2025-02-25,6,2025-02-25T06:00:00,2025-02-25T06:00:00,54,53,True
2025-02-25,12,2025-02-25T12:00:00,2025-02-25T12:00:00,54,53,True
2025-02-25,18,2025-02-25T18:00:00,2025-02-25T18:00:00,54,53,True
2025-02-26,0,2025-02-26T00:00:00,2025-02-26T00:00:00,55,54,True
2025-02-26,6,2025-02-26T06:00:00,2025-02-26T06:00:00,55,54,True
2025-02-26,12,2025-02-26T12:00:00,2025-02-26T12:00:00,55,54,True
2025-02-26,18,2025-02-26T18:00:00,2025-02-26T18:00:00,55,54,True
2025-02-27,0,2025-02-27T00:00:00,2025-02-27T00:00:00,56,55,True
2025-02-27,6,2025-02-27T06:00:00,2025-02-27T06:00:00,56,55,True
2025-02-27,12,2025-02-27T12:00:00,2025-02-27T12:00:00,56,55,True
2025-02-27,18,2025-02-27T18:00:00,2025-02-27T18:00:00,56,55,True
2025-02-28,0,2025-02-28T00:00:00,2025-02-28T00:00:00,57,56,True
2025-02-28,6,2025-02-28T06:00:00,2025-02-28T06:00:00,57,56,True
2025-02-28,12,2025-02-28T12:00:00,2025-02-28T12:00:00,57,56,True
2025-02-28,18,2025-02-28T18:00:00,2025-02-28T18:00:00,57,56,True
2025-03-01,0,2025-03-01T00:00:00,2025-03-01T00:00:00,58,57,True
2025-03-01,6,2025-03-01T06:00:00,2025-03-01T06:00:00,58,57,True
