strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-03,6,96,16:10-16:20,853.6037703703707,870.3017203703703,16.697949999999537,True
D,2025-01-03,6,97,16:20-16:30,892.7310574074072,906.112690740741,13.381633333333752,True
D,2025-01-03,6,98,16:30-16:40,919.4814148148148,929.5467314814814,10.065316666666604,True
D,2025-01-03,6,99,16:40-16:50,962.4384777777781,969.1874777777776,6.748999999999569,True
D,2025-01-03,6,100,16:50-17:00,1012.6078555555555,1016.0405388888893,3.4326833333337845,True
D,2025-01-03,6,101,17:00-17:10,1053.7814277777777,1053.8977944444443,0.11636666666663587,True
D,2025-01-03,6,102,17:10-17:20,1038.4936175925925,1038.5905898148146,0.09697222222212076,True
D,2025-01-03,6,103,17:20-17:30,1022.8364592592594,1022.9140370370372,0.07757777777783303,True
D,2025-01-03,6,104,17:30-17:40,1030.2130287037037,1030.271212037037,0.05818333333331793,True
D,2025-01-03,6,105,17:40-17:50,1052.3748425925926,1052.4136314814814,0.03878888888880283,True
D,2025-01-03,6,106,17:50-18:00,958.4702064814815,958.4896009259259,0.019394444444401415,True
D,2025-01-03,12,71,12:00-12:10,875.6616203703702,68.47313703703685,-807.1884833333334,True
D,2025-01-03,12,72,12:10-12:20,874.2844953703705,67.87014537037021,-806.4143500000002,True
D,2025-01-03,12,73,12:20-12:30,892.1942277777779,86.55401111111132,-805.6402166666666,True
D,2025-01-03,12,74,12:30-12:40,921.154421296296,116.28833796296283,-804.8660833333332,True
D,2025-01-03,12,75,12:40-12:50,973.9795833333333,169.88763333333338,-804.0919499999999,True
D,2025-01-03,12,76,12:50-13:00,1011.7884638888886,208.47064722222206,-803.3178166666665,True
D,2025-01-03,12,77,13:00-13:10,281.98127642770214,233.76076111111115,-48.22051531659099,True
D,2025-01-03,12,79,13:20-13:30,177.87471296296417,7.2059079629608505,-170.66880500000332,True
D,2025-01-03,12,89,15:00-15:10,1386.230774074074,1377.0079240740738,-9.222850000000108,True
D,2025-01-03,12,90,15:10-15:20,1457.7454175925925,1444.951575925926,-12.793841666666594,True
D,2025-01-03,12,91,15:20-15:30,1492.6972092592594,1476.3323759259258,-16.364833333333536,True
D,2025-01-03,12,92,15:30-15:40,1502.1205361111113,1482.1847111111113,-19.935825000000023,True
D,2025-01-03,12,93,15:40-15:50,1573.518024074074,1550.0112074074075,-23.50681666666651,True
