strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time
D,2025-05-05,0,1661.324200609682,3,9,32432.20520876492,0.02712720000272384,1.8189894035458565e-12,1.4779288903810084e-12,122,
D,2025-05-05,6,10048.60995782454,3,6,33974.83258031061,0.0207351999997627,1.8189894035458565e-12,2.2737367544323206e-13,122,2025-05-06 00:10:00
D,2025-05-05,12,6262.9009047498375,3,3,30884.9830478939,0.018242000001919223,1.8189894035458565e-12,2.2737367544323206e-13,122,2025-05-06 00:10:00
D,2025-05-05,18,10468.232932369205,3,1,28222.109527743698,0.0162878000010096,9.094947017729282e-13,1.1368683772161603e-13,122,2025-05-06 00:10:00
D,2025-05-06,0,1544.4178648760137,3,9,27924.299445408127,0.02652420000231359,1.8189894035458565e-12,1.5916157281026244e-12,123,
D,2025-05-06,6,6543.055696320349,3,6,33720.95317616396,0.019463200002064696,1.8189894035458565e-12,1.7053025658242404e-13,123,2025-05-07 00:10:00
D,2025-05-06,12,5026.145011325928,3,3,38141.17636226184,0.01966800000082003,1.8189894035458565e-12,1.1368683772161603e-13,123,2025-05-07 00:10:00
D,2025-05-06,18,10528.999249974777,3,1,27822.359087675126,0.016091099998448044,9.094947017729282e-13,1.1368683772161603e-13,123,2025-05-07 00:10:00
D,2025-05-07,0,1419.8589902831754,3,9,31088.78085775391,0.02530040000056033,1.8189894035458565e-12,2.3874235921539366e-12,124,
D,2025-05-07,6,7659.95437676237,3,6,36041.55815375163,0.019812399998045294,9.094947017729282e-13,1.1368683772161603e-13,124,2025-05-08 00:10:00
D,2025-05-07,12,4939.994201452202,3,3,38068.972010847145,0.018445099998643855,9.094947017729282e-13,1.1368683772161603e-13,124,2025-05-08 00:10:00
D,2025-05-07,18,10619.512468946967,3,1,26957.35225448475,0.01595870000164723,9.094947017729282e-13,1.1368683772161603e-13,124,2025-05-08 00:10:00
D,2025-05-08,0,1445.7789994437312,3,9,32447.656458144203,0.03166820000114967,1.8189894035458565e-12,1.1368683772161603e-12,125,
D,2025-05-08,6,8396.885583714004,3,6,33981.70072619231,0.021394899998995243,1.8189894035458565e-12,1.1368683772161603e-13,125,2025-05-09 00:10:00
D,2025-05-08,12,6111.81875048045,3,3,35752.61329754181,0.01920839999729651,9.094947017729282e-13,1.1368683772161603e-13,125,2025-05-09 00:10:00
D,2025-05-08,18,10688.767263475906,3,1,25691.997380737823,0.015506299998378381,9.094947017729282e-13,1.1368683772161603e-13,125,2025-05-09 00:10:00
D,2025-05-09,0,1369.3225327589134,3,9,27251.641485934382,0.028403299998899456,9.094947017729282e-13,1.7053025658242404e-12,126,
D,2025-05-09,6,9760.966692696356,3,6,26034.155919229535,0.01712259999840171,9.094947017729282e-13,1.1368683772161603e-13,126,2025-05-10 00:10:00
D,2025-05-09,12,10800.0,3,3,24089.74503818866,0.018159999999625143,9.094947017729282e-13,1.1368683772161603e-13,126,2025-05-10 00:10:00
D,2025-05-09,18,10470.45704822347,3,1,19822.30543136478,0.016164099997695303,9.094947017729282e-13,1.1368683772161603e-13,126,2025-05-10 00:10:00
D,2025-05-10,0,3654.4432652317637,3,9,26296.246086360206,0.028838400001404807,1.8189894035458565e-12,3.410605131648481e-13,127,
D,2025-05-10,6,10431.05855868594,3,6,26690.177417551193,0.01807310000003781,9.094947017729282e-13,1.1368683772161603e-13,127,2025-05-11 00:10:00
D,2025-05-10,12,10800.0,3,3,20828.231346739707,0.017354100000375183,9.094947017729282e-13,1.1368683772161603e-13,127,2025-05-11 00:10:00
D,2025-05-10,18,10500.965115984476,3,1,25436.890182859926,0.015540500000497559,9.094947017729282e-13,1.1368683772161603e-13,127,2025-05-11 00:10:00
D,2025-05-11,0,3687.3496725362397,3,9,31336.52289174917,0.02459669999734615,1.8189894035458565e-12,1.2505552149377763e-12,128,
D,2025-05-11,6,8138.5013163904305,3,6,36747.26823877274,0.020024399997055298,4.547473508864641e-13,1.1368683772161603e-13,128,2025-05-12 00:10:00
D,2025-05-11,12,5425.044952160713,3,3,34609.88911212599,0.01834220000091591,9.094947017729282e-13,1.1368683772161603e-13,128,2025-05-12 00:10:00
D,2025-05-11,18,10800.0,3,1,30605.81075850055,0.01584010000078706,1.8189894035458565e-12,1.1368683772161603e-13,128,2025-05-12 00:10:00
D,2025-05-12,0,2294.8540666843164,3,9,28492.46075659206,0.024630700001580408,1.8189894035458565e-12,2.8421709430404007e-12,129,
D,2025-05-12,6,5793.307826544234,3,6,32735.21623394441,0.021038200000475626,9.094947017729282e-13,1.1368683772161603e-13,129,2025-05-13 00:10:00
D,2025-05-12,12,5259.160067298255,3,3,34336.8523439734,0.018542000001616543,9.094947017729282e-13,1.7053025658242404e-13,129,2025-05-13 00:10:00
D,2025-05-12,18,10562.799102358927,3,1,31163.293332812485,0.01606299999912153,1.8189894035458565e-12,1.1368683772161603e-13,129,2025-05-13 00:10:00
D,2025-05-13,0,2161.6859223368124,3,9,32598.74355806885,0.02504129999942961,9.094947017729282e-13,9.094947017729282e-13,130,
D,2025-05-13,6,10777.993843017994,3,6,31862.1088414387,0.01865649999672314,1.8189894035458565e-12,1.1368683772161603e-13,130,2025-05-14 00:10:00
D,2025-05-13,12,6784.547560380606,3,3,40668.72021043706,0.018195199998444878,9.094947017729282e-13,1.1368683772161603e-13,130,2025-05-14 00:10:00
D,2025-05-13,18,10606.34936453717,3,1,29859.47668545969,0.016399700001784367,9.094947017729282e-13,1.1368683772161603e-13,130,2025-05-14 00:10:00
D,2025-05-14,0,1654.730169583408,3,9,32367.688828038175,0.024302800000441493,1.8189894035458565e-12,1.2505552149377763e-12,131,
D,2025-05-14,6,7562.502416259168,3,6,36917.33965933618,0.02083430000129738,1.8189894035458565e-12,1.1368683772161603e-13,131,2025-05-15 00:10:00
D,2025-05-14,12,6601.555003152342,3,3,32222.497309560047,0.016717800001060823,9.094947017729282e-13,1.7053025658242404e-13,131,2025-05-15 00:10:00
D,2025-05-14,18,10800.0,3,1,29919.683508971557,0.015350900001067203,9.094947017729282e-13,1.7053025658242404e-13,131,2025-05-15 00:10:00
D,2025-05-15,0,1507.1325608774926,3,9,32213.796236176786,0.022605899997870438,1.8189894035458565e-12,5.684341886080801e-13,132,
D,2025-05-15,6,7766.100444186953,3,6,34265.726528833446,0.018624300002556993,9.094947017729282e-13,1.7053025658242404e-13,132,2025-05-16 00:10:00
D,2025-05-15,12,5054.177377521165,3,3,35163.4227338856,0.01794789999985369,1.8189894035458565e-12,1.7053025658242404e-13,132,2025-05-16 00:10:00
D,2025-05-15,18,10800.0,3,1,23542.267606974103,0.015611499999067746,1.8189894035458565e-12,1.1368683772161603e-13,132,2025-05-16 00:10:00
D,2025-05-16,0,1578.8450150832575,3,9,24203.264203612285,0.022533900002599694,1.8189894035458565e-12,1.1368683772161603e-12,133,
D,2025-05-16,6,7974.641676622701,3,6,24338.639773094128,0.01671379999970668,1.8189894035458565e-12,1.1368683772161603e-13,133,2025-05-17 00:10:00
D,2025-05-16,12,10800.0,3,3,20800.80708797655,0.019213999999919906,4.547473508864641e-13,7.105427357601002e-14,133,2025-05-17 00:10:00
D,2025-05-16,18,10523.630516287105,3,1,18633.302847623672,0.015301300001738127,9.094947017729282e-13,1.1368683772161603e-13,133,2025-05-17 00:10:00
D,2025-05-17,0,2909.4192067107283,3,9,26319.364923412722,0.024081999999907566,1.8189894035458565e-12,7.389644451905042e-13,134,
D,2025-05-17,6,8603.010466645785,3,6,25142.807924680914,0.01605779999954393,1.8189894035458565e-12,2.2737367544323206e-13,134,2025-05-18 00:10:00
D,2025-05-17,12,10800.0,3,3,24640.40967148061,0.015913400002318667,1.8189894035458565e-12,1.1368683772161603e-13,134,2025-05-18 00:10:00
D,2025-05-17,18,10800.0,3,1,19241.52565845287,0.0141198000019358,9.094947017729282e-13,1.1368683772161603e-13,134,2025-05-18 00:10:00
D,2025-05-18,0,3298.4075293921123,3,9,32698.963099335127,0.027079600000433857,9.094947017729282e-13,8.242295734817162e-13,135,
